
<0000> "Yuki, devolva meu pudim!"
<0153> "Ela está querendo usar seu poder para outra coisa além de lutar...?"
<0154> "Ainda estou com fome."
<0155> "..."
<0156> "Isto foi uma completa coincidência, mas bom trabalho parando o fusível aceso deste planeta."
<0157> "Não foi nenhuma coincidência. Esse é o poder dos doces... O poder do pudim."
<0158> "Sim, você está certa."
<0159> "Doces deliciosos podem iniciar lutas. Mas, sua gostosura também possui o poder de pará-las."
<0160> "Então não vai mais selar o pudim? Sweet Breaker."
<0161> "Não por enquanto."
<0162> "Yahhoo!"
<0163> "Deixemos tudo de lado agora, vamos cozinhar mais doces."
<0164> "Claro, mas não precisa de pressa. Acho que vamos fazer pudim de leite agora."
<0165> "Sweebo... Esse não precisa ser cozinhado."
<0166> "Eu não ligo, contanto que seja delicioso."
<0167> "Você não liga!?"
<0168> "Fufufu."
<0169> "Eu sou Sweet Breaker. E que o poder dos doces parem todas as lutas por toda a parte."
