
<0000> "O-hoho."
<0190> "Oh, parece que eu acertei."
<0191> "Produzida em massa...? O que raios ela é?"
<0192> "Marie Poppo!"
<0193> "Este é seu nome, e nós sabemos disso."
<0194> "..."
<0195> "Ei, tem mais alguém aqui."
<0196> "Eu vou fazer o meu melhor..."
<0197> "Ela está acelerando em nossa direção!"
<0198> "Cuidado!"
<0199> "Asustador!"
<0200> "Bizarro."
<0201> "Precisamos pará-los!"
<0202> "Ufa."
<0203> "Poppo perdeu."
<0204> "Poppo... Tão fofa."
<0205> "*Afaga afaga*"
<0206> "Poppo está com vergonha."
<0207> "Parece que ela queria afagar a Poppo."
<0208> "Verdade seja dita, a Poppo realmente é fofinha."
<0209> "Pooo! Não fiquem me encarando!"
<0210> "Não se preocupe, não se preocupe."
<0211> "Mas... Poppo disse que ela é produzida em massa. O que isso significa?"
<0212> "Se ela é um produto, deve ter um produtor."
<0213> "Quem no mundo seria...?"
<0214> "Você irá encontrar..."
<0215> "...No próximo estágio!"
<0216> "Novamente estamos em um mundo diferente..."
<0217> "Esse parece bem instável."
<0218> "Acho que vou passar mal..."
<0219> "Mas isso não é meio animador?"
<0220> "Não muito."
<0221> "Poppo!"
<0222> "Poppopo!"
<0223> "Poppopopo!"
<0224> "...Elas não aumentaram em número?"
<0225> "Produção em massa... então realmente é real."
<0226> "Então, quem foi que as fez...?"
<0227> "O-hohoho."
<0228> "Quem está aí?"
<0229> "Devo parabenizá-los por chegarem tão longe!"
<0230> "Escuto a voz de uma garota."
<0231> "Onde está você!?"
<0232> "Hohoho, bem aqui na sua frente."
<0233> "Q-Quando foi que você chegou aqui!?"
<0234> "Eu estava escondida atrás da Poppo!"
<0235> "Teria sido melhor se você não tivesse explicado..."
<0236> "..."
<0237> "Essa revelação realmente acabou com meu ânimo."
<0238> "Acho que posso simpatizar com ela."
<0239> "Calem-se!"
<0240> "Eu sou a garota mágica ídolo, Tomomo!"
<0241> "E a criadora deste mundo!"
<0242> "A criadora deste mundo?"
<0243> "Sim."
<0244> "Por que você o criou?"
<0245> "Para juntar várias pessoas de mundos diferentes."
<0246> "E ter uma jogo de batalha em grande escala!"
<0247> "E os jogadores irão se encontrar comigo no final."
<0248> "Não é legal?"
<0249> "Eu realmente não sei."
<0250> "Eu acho que alguém como você não merece ser um chefe final. Não parece certo."
<0251> "Cale a boca!"
<0252> "Já que essa é minha criação, eu definitivamente quero fazer com que tenha maior destaque nesse jogo!"
<0253> "Que tipo de motivo é esse..."
<0254> "Você está me olhando como se eu fosse idiota!"
<0255> "Deixe-me clarear mais as coisas! Vocês também são minhas criações!"
<0256> "É verdade!"
<0257> "O que isso quer dizer?"
<0258> "É um fato, eu criei esse mundo e tudo que ele possui, vocês inclusos."
<0259> "Usando grandes pessoas de outros mundos como referência."
<0260> "Entendo."
<0261> "Suguri... você era para estar chocada com esta revelação."
<0262> "Eu vou me matar..."
<0263> "Você está muito deprimida, QP."
<0264> "Mesmo assim!"
<0265> "Se você quer ver um final feliz, você deve me derrotar primeiro!"
<0266> "Está certo."
<0267> "Você deve ter trabalhado duro para tudo isso acontecer, então nós vamos ir até o final."
<0268> "Sério! Quando vão parar de me tratar como uma criança!?"
<0269> "Você deve pensar em mim como se eu fosse sua mãe!"
<0270> "...Ela realmente não deveria ser o chefe final."
<0271> "Nós vencemos?"
<0272> "Fomos completamente derrotadas, Poppo."
<0273> "Como? Eu mudei os valores de meus atributos para assegurar a minha vitória..."
<0274> "Você deveria ser um chefe final, não trapaceie desse jeito!"
<0275> "De outro lado, é algo que um chefe final faria."
<0276> "Anime-se."
<0277> "Ueeee."
<0278> "Está tudo bem, Tomomo."
<0279> "O-o que."
<0280> "Você foi forte, e possui uma personalidade única."
<0281> "Então eu tenho certeza de que você fez uma impressão ótima."
<0282> "Uuu... *soluço*... Suguri..."
<0283> "Então, por favor não chore."
<0284> "Ok..."
<0285> "Tocante."
<0286> "Sério?"
<0287> "Tudo bem, todos estão se sentindo ótimos agora, mas..."
<0288> "O que vamos fazer agora?"
<0289> "Pensando nisso!"
<0290> "Bem..."
<0291> "Eu vou deixar esse mundo aberto para fácil acesso."
<0292> "Então, você pode retornar ao seu mundo, ou jogar com alguém."
<0293> "Façam o que quiser."
<0294> "Mamãe Tomomo! Essa política é bem Laissez-faire!"
<0295> "?"
<0296> "Mas se eu poder jogar com todos novamente..."
<0297> "Isso seria maravilhoso."
<0298> "Eu vou me juntar a vocês logo no começo da próxima vez!"
<0299> "Se preparem!"
<0300> "Sem trapacear, ok?"
<0301> "Ahaha."
<0302> "Um mundo em que todos podem jogar juntos e tranquilamente..."
<0303> "O que foi, Suguri?"
<0304> "Não é nada."
<0305> "Certo então, vamos iniciar a próxima partida!"
<0306> "Claro."
